event_id,customer_id,event_type,event_date,product_id,session_id
E00154,C0034,page_view,2026-07-28,P004,S221620
E00145,C0110,product_view,2026-08-25,P007,S190898
E00473,C0180,add_to_cart,2026-08-31,P012,S174703
E00147,C0044,product_view,2026-06-25,P018,S128127
E00009,C0034,add_to_cart,2026-06-24,P005,S768676
E00283,C0189,page_view,2026-08-28,P010,S408467
E00297,C0300,purchase,2026-06-26,P021,S415989
E00363,C0216,page_view,2026-08-12,P013,S432270
E00306,C0291,page_view,2026-08-24,P007,S846794
E00444,C0166,product_view,2026-09-07,P025,S840532
E00462,C0236,product_view,2026-09-14,P006,S975671
E00069,C0219,purchase,2026-07-16,P006,S434217
E00477,C0240,product_view,2026-08-23,P011,S334665
E00422,C0139,add_to_cart,2026-06-30,P026,S505298
E00183,C0242,purchase,2026-06-29,P020,S352867
E00315,C0267,page_view,2026-08-30,P012,S494956
E00489,C0057,page_view,2026-07-03,P020,S433580
E00094,C0193,page_view,2026-08-15,P018,S936821
E00428,C0124,purchase,2026-07-14,P005,S238173
E00284,C0039,page_view,2026-08-17,P009,S683635
E00111,C0286,page_view,2026-06-27,P016,S717181
E00261,C0254,page_view,2026-08-17,P008,S152796
E00325,C0259,page_view,2026-07-05,P023,S728950
E00204,C0136,page_view,2026-08-29,P003,S567429
E00123,C0148,product_view,2026-09-20,P008,S608149
E00106,C0150,product_view,2026-08-14,P007,S353777
E00225,C0157,page_view,2026-08-08,P015,S581294
E00218,C0265,add_to_cart,2026-06-23,P023,S631413
E00088,C0223,add_to_cart,2026-08-23,P002,S321686
E00366,C0041,page_view,2026-07-13,P002,S156440
E00098,C0167,page_view,2026-07-12,P007,S354533
E00234,C0170,add_to_cart,2026-07-02,P016,S711922
E00490,C0208,page_view,2026-07-12,P011,S503277
E00073,C0021,product_view,2026-07-22,P010,S319036
E00375,C0217,add_to_cart,2026-08-16,P010,S779956
E00385,C0125,product_view,2026-06-25,P915,S725173
E00228,C0167,purchase,2026-08-28,P012,S257212
E00085,C0269,page_view,2026-08-02,P009,S182857
E00059,C0038,product_view,2026-09-13,P002,S595002
E00443,C0212,product_view,2026-08-27,P008,S576769
E00096,C0047,page_view,2026-09-08,P949,S238943
E00150,C0068,page_view,2026-07-23,P022,S907788
E00101,C0101,purchase,2026-07-04,P001,S498343
E00486,C0077,product_view,2026-06-26,P010,S431976
E00033,C0299,product_view,2026-09-03,P012,S961574
E00321,C0133,product_view,2026-09-19,P007,S854500
E00294,C0223,page_view,2026-09-17,P025,S191772
E00282,C0161,page_view,2026-07-27,P012,S970300
E00494,C0004,product_view,2026-07-14,P020,S704349
E00109,C0056,page_view,2026-07-11,P015,S776364
E00400,C0184,add_to_cart,2026-08-29,P016,S676680
E00353,C0162,page_view,2026-08-06,P004,S742544
E00066,C0025,page_view,2026-09-14,P008,S246942
E00003,C0187,purchase,2026-07-06,P014,S811027
E00253,C0024,product_view,2026-08-07,P927,S558976
E00496,C0270,product_view,2026-07-05,P029,S192742
E00326,C9902,product_view,2026-07-06,P019,S665482
E00164,C0238,product_view,2026-08-21,P028,S257880
E00497,C0040,page_view,2026-08-09,P010,S661023
E00242,C0269,page_view,2026-08-07,P025,S886553
E00262,C0282,page_view,2026-07-10,P004,S569865
E00430,C0221,product_view,2026-09-01,P028,S432918
E00014,C0266,purchase,2026-07-17,P006,S397846
E00194,C0040,product_view,2026-03-09,P028,S843404
E00163,C0160,page_view,2026-08-14,P013,S875501
E00416,C0177,page_view,2026-07-27,P005,S753453
E00447,C0229,purchase,2026-08-20,P003,S112800
E00391,C0278,product_view,2026-09-19,P011,S749838
E00398,C0156,page_view,2026-07-15,P009,S504048
E00417,C0023,page_view,2026-09-11,P011,S217830
E00115,C0085,page_view,2026-07-12,P017,S547080
E00287,C0163,page_view,2026-07-30,P030,S669460
E00220,C9151,page_view,2026-08-02,P015,S766275
E00367,,page_view,2026-09-11,P019,S786641
E00438,C0195,product_view,2026-07-01,P012,S838315
E00479,C0034,add_to_cart,2026-08-08,P008,S733801
E00381,,add_to_cart,2026-09-17,P016,S308855
E00406,C0293,page_view,2026-07-09,P006,S361993
E00265,C0288,page_view,2026-08-24,P015,S985331
E00499,C0019,product_view,2026-09-14,P015,S759868
E00070,C0210,product_view,2026-08-14,P009,S999197
E00280,C0105,page_view,2026-07-12,P008,S335203
E00080,C0252,page_view,2026-07-21,P015,S292988
