order_id,customer_id,order_date,order_value,product_id
O00058,C0040,2026-06-16,145.00,P020
O00081,C0244,2026-06-27,240.00,P001
O00077,C0117,2026-09-06,48.00,P021
O00014,C0107,2026-06-19,64.00,P006
O00053,C9883,2026-07-07,66.00,P028
O00115,C0033,2026-06-08,48.00,P021
O00033,C0190,2026-06-28,68.00,P013
O00004,C0251,2026-06-06,64.00,P008
O00055,C0295,2026-09-01,150.00,P943
O00054,C0247,2026-06-25,58.00,P022
O00013,C0171,2026-06-24,228.00,P005
O00124,C0121,2026-08-30,95.00,P002
O00029,C0157,2026-08-05,64.00,P008
O00132,C0209,2026-06-08,190.00,P002
O00009,C0209,2026-08-22,228.00,P005
O00003,C0088,2026-09-10,92.00,P014
O00076,C0226,2026-08-04,128.00,P006
O00080,C0228,2026-08-28,28.00,P007
O00039,C9732,2026-08-11,95.00,P002
O00089,C9283,2026-08-14,138.00,P014
O00105,C0174,2026-08-27,56.00,P007
O00099,C0175,2026-07-31,128.00,P006
O00048,C0210,2026-07-12,176.00,P003
O00104,C0251,2026-07-20,87.00,P015
O00043,C0219,2026-08-08,152.00,P005
O00148,C0235,2026-06-25,128.00,P006
O00075,C0110,2026-08-06,174.00,P022
O00094,C0156,2026-09-04,56.00,P007
O00040,C0100,2026-08-27,76.00,P005
O00042,C0262,2026-08-02,36.00,P026
O00141,C0286,2026-07-24,34.00,P013
O00062,C0114,2026-07-05,135.00,P023
O00018,C0298,2026-06-16,31.00,P018
O00134,C0134,2026-06-20,114.00,P010
O00031,C0147,2026-06-25,162.00,P012
O00092,C0017,2026-08-03,54.00,P024
O00144,C0233,2026-06-22,110.00,P004
O00049,C0071,2026-07-13,48.00,P021
O00010,C0009,2026-07-25,162.00,P012
O00135,C0233,2026-07-03,290.00,P020
O00051,C0002,2026-06-07,144.00,P011
O00145,C0137,2026-07-28,88.00,P003
O00068,C0058,2026-09-16,58.00,P022
O00026,C0150,2026-06-07,330.00,P004
O00008,C0051,2026-06-17,42.00,P009
O00118,C0019,2026-08-19,240.00,P001
O00052,C0148,2026-07-01,54.00,P012
O00074,C0099,2026-09-21,126.00,P009
O00149,C0197,2026-09-12,29.00,P015
O00109,C0108,2026-07-19,152.00,P005
O00093,C0193,2026-07-12,264.00,P003
O00138,C0211,2026-06-02,96.00,P008
O00032,C0083,2026-07-10,64.00,P006
O00086,C0205,2026-07-21,117.00,P016
O00073,C0259,2026-06-16,38.00,P010
O00090,C0040,2026-06-12,64.00,P008
O00070,C0006,2026-08-26,135.00,P023
O00071,C0095,2026-06-05,264.00,P003
O00069,C0263,2026-09-16,76.00,P005
O00050,C0155,2026-06-19,84.00,P009
O00088,C0016,2026-07-20,285.00,P002
O00001,C0292,2026-07-25,64.00,P008
O00038,C0246,2026-09-07,84.00,P009
O00028,C0272,2026-07-11,76.00,P005
O00035,C0013,2026-07-25,176.00,P003
O00066,C0156,2026-08-24,50.00,P925
O00106,C0039,2026-08-19,76.00,P005
O00091,C0255,2026-06-10,192.00,P006
O00116,C0132,2026-09-07,110.00,P004
O00027,C0211,2026-07-21,87.00,P015
O00150,C0027,2026-07-06,192.00,P006
O00045,C0213,2026-05-30,108.00,P012
O00016,C0188,2026-07-12,102.00,P013
O00019,C0137,2026-09-13,240.00,P001
O00084,C0174,2026-09-06,58.00,P022
O00083,C0053,2026-09-13,58.00,P025
O00059,C0086,2026-08-18,108.00,P026
O00103,C0012,2026-08-11,84.00,P007
O00100,C0126,2026-09-11,78.00,P017
O00140,C0094,2026-08-24,38.00,P010
O00097,C0254,2026-08-07,96.00,P011
O00125,C0226,2026-07-21,390.00,P019
O00123,C0047,2026-08-10,192.00,P006
O00136,C0070,2026-07-03,100.00,P935
O00122,C0257,2026-06-14,114.00,P010
O00060,C0186,2026-09-20,46.00,P014
O00021,C0273,2026-06-11,192.00,P006
O00110,C0277,2026-07-04,228.00,P005
O00061,C0191,2026-09-08,88.00,P003
O00005,C0220,2026-07-28,192.00,P006
O00024,C0255,2026-09-19,96.00,P011
O00030,C0025,2026-07-04,88.00,P003
O00119,C0091,2026-07-21,54.00,P012
O00101,C0157,2026-08-11,42.00,P009
O00025,C0278,2026-07-27,84.00,P007
O00007,C0259,2026-08-02,100.00,P977
O00057,C0215,2026-08-15,44.00,P028
O00131,C0121,2026-05-27,290.00,P020
O00085,C0256,2026-07-08,52.00,P017
O00072,C0297,2026-06-14,126.00,P009
O00020,C0249,2026-06-23,174.00,P022
O00147,C9368,2026-08-05,330.00,P004
O00063,C0270,2026-06-17,31.00,P018
O00143,C0189,2026-06-22,102.00,P013
O00108,C0049,2026-06-11,114.00,P010
O00022,C0034,2026-09-11,54.00,P024
O00117,C0126,2026-07-12,64.00,P008
O00126,C0058,2026-08-21,96.00,P011
O00128,C0018,2026-06-25,102.00,P013
O00114,C0076,2026-06-05,58.00,P015
O00146,C0145,2026-07-31,88.00,P003
O00121,C0047,2026-08-22,145.00,P020
O00079,C0168,2026-07-07,96.00,P008
O00133,C0212,2026-06-01,28.00,P007
O00113,C0223,2026-07-17,34.00,P013
O00137,C0043,2026-06-15,162.00,P012
O00056,C0164,2026-09-01,29.00,P015
O00047,C0269,2026-06-17,76.00,P010
O00096,C0293,2026-07-19,46.00,P014
O00036,C0280,2026-08-15,108.00,P012
O00107,C0294,2026-09-10,162.00,P012
O00112,C0110,2026-08-18,174.00,P022
O00064,C0040,2026-07-22,240.00,P001
O00017,C0071,2026-06-30,190.00,P002
O00006,C0077,2026-09-16,33.00,P027
O00041,C0229,2026-08-02,249.00,P030
O00015,C0187,2026-07-24,192.00,P006
O00139,C0089,2026-08-27,24.00,P021
O00037,C0294,2026-08-09,174.00,P022
O00111,C0281,2026-07-17,54.00,P012
